X,Y,Event_ID,Month,Event_Date,Event_Name,Day,Type,Time,Image_url,Address,Lat,Long,Telephone,Email,Website,FID,CreationDate,Creator,EditDate,Editor
-8.189096,53.627591,1,March,March 18th,Roscommon Womens Network Charity 5km Fun Run,Wednesday,Charity,1970-01-01T00:00:00.000Z,,Roscommon,53.627591,-8.189096,094 9621690,,,1,2015-04-01T09:48:54.005Z,RoscomCoCoGIS,2015-04-01T10:15:53.670Z,
-8.183929,53.631049,2,March,March 26th-27th,Human Child (Children),Thursday-Friday,Theatre,2015-03-27T11:00:00.000Z,http://visitroscommon.com/portals/0/Images/Home/Culture%20%20and%20H/Roscommon%20Arts%20Centre%201.jpg,"The Arts Centre, Roscommon",53.631049,-8.183929,090 6625824,,http://www.roscommoncoco.ie/en/Services/Arts/,2,2015-04-01T09:48:54.005Z,RoscomCoCoGIS,2015-04-01T14:47:53.638Z,
-8.189096,53.627591,3,March,March 29th,Midlands Motor Rally,Sunday,Sport,1970-01-01T00:00:00.000Z,http://www.rally.ie/uploads/downloads/100401_110733/5R2V5836.jpg,Rocommon Town and Surrounding Areas,53.627591,-8.189096,086 8126390,jeremyoconner@eircom.net,,3,2015-04-01T09:48:54.005Z,RoscomCoCoGIS,2015-04-01T10:16:23.197Z,
-8.183929,53.631049,4,April,April 11th,Joe Prop,Saturday,Theatre,2015-03-27T20:00:00.000Z,http://visitroscommon.com/portals/0/Images/Home/Culture%20%20and%20H/Roscommon%20Arts%20Centre%201.jpg,"The Arts Centre, Roscommon",53.631049,-8.183929,090 6625824,,http://www.roscommoncoco.ie/en/Services/Arts/,4,2015-04-01T09:48:54.005Z,RoscomCoCoGIS,2015-04-01T14:48:06.138Z,
-8.253495,53.778672,5,April,April 11th-12th,Rathcroghan Conference 2015: Archaeology Above and Below,Saturday-Sunday,History,1970-01-01T00:00:00.000Z,http://visitroscommon.com/Portals/0/YAG/729/20131204-160536_zoom.jpg,"Rathcroghan Visitor Centre, Tulsk, Castlrea",53.778672,-8.253495,071 9639268,,http://www.rathcroghanconference.com,5,2015-04-01T09:48:54.005Z,RoscomCoCoGIS,2015-04-01T10:46:43.627Z,
-8.488359,53.767452,6,April,April 16th-18th,"William Wilde Symposium, Trinity Arts and Clonalis",Thursday-Saturday,History,1970-01-01T00:00:00.000Z,http://upload.wikimedia.org/wikipedia/commons/thumb/1/18/William_Wilde_young.jpg/220px-William_Wilde_young.jpg,Castlrea Library,53.767452,-8.488359,,,,6,2015-04-01T09:48:54.005Z,RoscomCoCoGIS,2015-04-01T10:22:30.743Z,
-8.193794,53.625378,7,April,April 16th-18th,"William Wilde Symposium, Trinity Arts and Clonalis",Thursday-Saturday,History,1970-01-01T00:00:00.000Z,http://upload.wikimedia.org/wikipedia/commons/thumb/1/18/William_Wilde_young.jpg/220px-William_Wilde_young.jpg,Roscommon Library,53.625378,-8.193794,090 6637271,,,7,2015-04-01T09:48:54.005Z,RoscomCoCoGIS,2015-04-01T10:16:56.013Z,
-8.183929,53.631049,8,April,April 24th-25th,Too Fast: Roscommon Youth Theatre,Friday-Saturday,Theatre,2015-03-27T20:00:00.000Z,http://visitroscommon.com/portals/0/Images/Home/Culture%20%20and%20H/Roscommon%20Arts%20Centre%201.jpg,"The Arts Centre, Roscommon",53.631049,-8.183929,071 9633013,,http://www.roscommoncoco.ie/en/Services/Arts/,8,2015-04-01T09:48:54.005Z,RoscomCoCoGIS,2015-04-01T14:48:00.629Z,
-8.189096,53.627591,9,April,April 29th-May 4th,"Roscommon Lamb Festival 2015: Heritage walk, Tours of Carrowroe House, Roscommon Lamb BBQ Brazilian Stlye, Sheep Dog Trails, Carers Mini Marathon.",Wednesday-Monday,Festival,1970-01-01T00:00:00.000Z,http://visitroscommon.com/Portals/0/YAG/1843/20120814-180113_zoom.jpg,Rocommon Town and Surrounding Areas,53.627591,-8.189096,086 8171698,,http://www.roscommonlambfestival.com,9,2015-04-01T09:48:54.005Z,RoscomCoCoGIS,2015-04-01T10:49:24.561Z,
-8.021013,53.398985,10,April,April 4th,Easter Egg Hunt,Saturday,Seasonal,1970-01-01T00:00:00.000Z,http://visitroscommon.com/portals/0/Images/WhatsOn/March/eastereggs%20images.jpg,"Glendeer Pet Farm, Drum, Athlone",53.398985,-8.021013,090 6437147,,,10,2015-04-01T09:48:54.005Z,RoscomCoCoGIS,2015-04-01T10:23:55.645Z,
-8.301113,53.973003,11,April,April 4th,Easter Egg Hunt,Saturday,Seasonal,1970-01-01T00:00:00.000Z,http://visitroscommon.com/portals/0/Images/WhatsOn/March/eastereggs%20images.jpg,"The Grounds of King House, Boyle",53.973003,-8.301113,071 9663033,info@unabhan.ie,http://www.unabhan.ie,11,2015-04-01T09:48:54.005Z,RoscomCoCoGIS,2015-04-01T10:45:31.287Z,
-8.197849,53.85227,12,April,April 4th-6th,County Fleadh,Saturday-Monday,Music,1970-01-01T00:00:00.000Z,http://visitroscommon.com/portals/0/Images/WhatsOn/March/cgmed.jpg,Elphin,53.85227,-8.197849,071 9635565,,,12,2015-04-01T09:48:54.005Z,RoscomCoCoGIS,2015-04-01T10:20:29.769Z,
-7.94069,53.423933,13,April,April 5th,Athone Easter Parade,Sunday,Seasonal,1970-01-01T00:00:00.000Z,http://visitroscommon.com/portals/0/Images/WhatsOn/March/eastereggs%20images.jpg,Athlone,53.423933,-7.94069,,,,13,2015-04-01T09:48:54.005Z,RoscomCoCoGIS,2015-04-01T10:24:13.847Z,
